,grid,side,Quad,obstacle,goal_dist,start_dist,wall_dist,center_dist,dVGC,sVGC,Moves,JIT,sVGCPrior,RandomForgetsVGC,TargetForgetsVGC,SpatialsVGC,SpatialsVGC010,SpatialsVGC025,SpatialsVGC033,SpatialsVGC040,RandomForgetsVGC010,RandomForgetsVGC025,RandomForgetsVGC033,RandomForgetsVGC040
54,grid-009-l,L,NA,obs-0,8,11,2,4,0.007139567,4.54E-05,14,0.131715553,0.360029055,4.54E-05,4.54E-05,0.12003995,0.140039042,0.255166517,0.348429058,0.331890936,4.54E-05,4.54E-05,4.54E-05,4.54E-05
55,grid-009-l,L,L,obs-1,3,10,1,3,0.00836788,4.54E-05,14,0.176837077,0.300283597,4.54E-05,4.54E-05,0.140035225,0.137262178,0.249489827,0.310053468,0.340538072,4.54E-05,4.54E-05,4.54E-05,4.54E-05
56,grid-009-l,R,L,obs-2,3,8,5,7,0.734684477,0.77704444,14,0.620634395,0.412381615,0.484831097,0.060766467,0.65847591,0.704625178,0.709219308,0.62906599,0.660074823,0.641237323,0.467134919,0.324459855,0.23515914
57,grid-009-l,R,U,obs-3,6,2,1,2,0.34884078,1,14,0.239803544,0.160048054,0.78,0.14,0.85020561,0.880137383,0.670415003,0.660610489,0.582997286,0.92,0.84,0.67,0.61
58,grid-009-l,L,U,obs-4,8,4,2,4,0.007600184,4.54E-05,14,0.156865715,0.380279965,4.54E-05,4.54E-05,0.135038929,0.155038248,0.276642027,0.388328762,0.398364292,4.54E-05,4.54E-05,4.54E-05,4.54E-05
59,grid-009-l,R,L,obs-5,2,7,1,2,0.803469983,1,14,0.742526649,0.399757167,0.830002285,0.370017268,0.96000227,0.950003178,0.970001362,0.910005448,0.920004086,0.940000009,0.810002743,0.70000592,0.61001001
60,grid-010-l,L,U,obs-0,12,4,5,7,0.00963735,4.54E-05,15,0.166138805,0.180060405,4.54E-05,4.54E-05,0.018462082,0.02025122,0.017381837,0.035744363,0.107354875,4.54E-05,4.54E-05,4.54E-05,4.54E-05
61,grid-010-l,R,NA,obs-1,7,6,2,4,0.041690463,1,15,0.375592589,0.313832943,0.760010895,0.22003541,0.95000227,0.95000227,0.840007264,0.905000586,0.750003771,0.790009534,0.490023153,0.440025423,0.39002769
62,grid-010-l,R,L,obs-2,2,6,1,3,0.363506568,1,15,0.740499283,0.653924871,0.87,0.65,0.97347857,0.983477661,0.921946423,0.937715894,0.815434339,0.93,0.7,0.63,0.62
63,grid-010-l,L,L,obs-3,6,11,4,6,0.01220731,4.54E-05,15,0.221267924,0.340007521,4.54E-05,4.54E-05,0.150033118,0.100036755,0.090038577,0.165028471,0.200031303,4.54E-05,4.54E-05,4.54E-05,4.54E-05
64,grid-010-l,R,U,obs-4,9,1,3,5,0.012992576,4.54E-05,15,0.136183867,0.040571018,4.54E-05,4.54E-05,0.090039944,0.060042674,0.150038588,0.200034039,0.220034042,4.54E-05,4.54E-05,4.54E-05,4.54E-05
65,grid-010-l,L,NA,obs-5,7,7,1,3,0.013063963,4.54E-05,15,0.206458498,0.52001997,4.54E-05,4.54E-05,0.290032232,0.190036772,0.2750328,0.400027239,0.470024061,4.54E-05,4.54E-05,4.54E-05,4.54E-05
66,grid-011-l,L,U,obs-0,11,6,4,6,0.008053245,4.54E-05,16,0.230799364,0.140555466,4.54E-05,4.54E-05,0.130039496,0.160038134,0.190036772,0.17503734,0.180037226,4.54E-05,4.54E-05,4.54E-05,4.54E-05
67,grid-011-l,R,NA,obs-1,6,6,2,4,0.597071547,1,16,0.442865461,0.539940612,0.710013165,0.340029963,0.877725703,0.940002724,0.866206328,0.814688768,0.725452769,0.840007264,0.570019521,0.470024061,0.33003042
68,grid-011-l,R,L,obs-2,1,7,1,3,0.78063228,1,16,0.768774057,0.740037184,0.82,0.77,0.944806676,0.960035822,0.950039863,0.910075881,0.869793116,0.9,0.71,0.71,0.53
69,grid-011-l,L,L,obs-3,5,12,4,6,0.009717138,4.54E-05,16,0.232445818,0.220298883,4.54E-05,4.54E-05,0.129972349,0.160038134,0.194126728,0.16983625,0.179835801,4.54E-05,4.54E-05,4.54E-05,4.54E-05
70,grid-011-l,R,U,obs-4,8,1,3,5,0.266622296,1,16,0.499447632,0.618434116,0.85,0.54,0.900196654,0.909934777,0.849943636,0.834939338,0.810195164,0.88,0.68,0.59,0.55
71,grid-011-l,L,NA,obs-5,8,9,1,3,0.009051581,4.54E-05,16,0.221842751,0.460287988,4.54E-05,4.54E-05,0.160038134,0.17003768,0.195036432,0.235034616,0.230034956,4.54E-05,4.54E-05,4.54E-05,4.54E-05
